first	second	opt	dist	bytes
11110100100111000011111000100011000	11100101011110000101011010001110000	17	17	869956664
11011011001100100110011001010010100	11111101001001100001100110001100100	18	18	966991696
11010011101011000011010100110100100	11010100111110001001101000110100100	11	11	76276824
11100011110110000101110000101010100	11110001001110100100111000101110000	14	14	329929344
11110001101001100100111000110010100	11111001110010000010101011100101000	15	15	579612632
11100111110001001001001011001100100	11110100011110010001110100001011000	18	18	913464216
11110010010100110110100110100011000	11111100100011101000001110010010100	13	13	237872904
11111001001100011100010011001100100	11110111100010001100011010001100100	9	9	18298344
11010011001111001001100011001110000	11110001110100001101101000110011000	16	16	698264544
11111000101001101010011100001011000	11100110011101001100100100111000100	18	18	935346536
11101010011001100100110010110010100	11110100011110010010011010010100100	10	10	41202680
11111001001100110001100011001011000	11001011111001000101010011001100100	14	14	366678400
11110001111000110010111000100110000	11001111000010111001001011100010100	17	18	784584984
11111001100101000101111100000011000	11001111010010010101010011100011000	11	11	78045296
11101001100011011001011001001101000	11110110001000111001011010010011000	12	12	146720136
11110011001000110011100011011010000	10110110001101010110011001001110000	17	18	567013152
11110001111001001010100100101100100	11111001010010010011100100110100100	9	9	18378480
11110100100101100011101001101001000	11110100111101000011010010100110000	16	16	609477536
11011000111100001110110001100110000	11110011001010001110110010100100100	11	11	65157832
11011001101001001110010100101011000	11110010100110011001100100110110000	16	16	654411520
11110101101010001110010001100100100	11111100010010001011010100110010100	19	19	944287432
11101010010111110000100101001100100	11100101100110100011010011010100100	14	14	387757264
11110110010011001001001010101100100	11110101001110010001011100010100100	16	16	572314912
11011001110001010011001101010010100	11100110101010011100011100010010100	14	14	372266904
11100011100111000111100001001100100	11101100011110100100110010010101000	19	19	1019174016
11011100100110101010010011001101000	11111001101000110000110110110100000	17	17	770400456
11110001101101110101000001001110000	11100111100001001101101110100000100	22	23	1049981976
11011111000001110010100100111001000	11111010001110001010010011010011000	16	16	680884376
11111110000100110001101001001110000	11111101010011011000100100110000100	14	14	391813392
11111101011000010110001010100010100	11101001110010001101001101001100100	16	16	483465104
11001111100010010110100110010100100	11110111000011100011001000111000100	16	17	723136360
11100011001100111000111010011010000	11011001001111001100001111100000100	11	11	59170016
11011011110000101101000011011010000	11101101001011000101100111001000100	20	21	959429768
11100110011001111000100011010011000	10111100101100010011001110100010100	17	17	776912016
11001110111100000110011000101101000	11111111000100000101001011001101000	13	13	177365056
11110100110000111100001110010110000	11110010011101101001100011001000100	20	20	1007437328
11101101101000010101001100110010100	11101001101100010100111010010010100	13	13	203218368
