first second opt dist central
11110010100111111001000011001001000 11110101100110001101000110100100100 17 17 23
11110001111101000100010110100010100 11101010100101100100111100001101000 17 18 22
11101110000011111100000100111010000 11001111001101000101101001001010100 21 21 25
11011001110001110001011010001101000 10101111000111100010110100010010100 19 19 24
11011000110011110000110011110000100 11110101110010100010110001011001000 19 19 23
11100110011100100011101100100011000 10111110010011100000111010011000100 18 18 24
11101101000111100010010011110001000 11111000111100011100000110010010100 18 19 25
11111010010110010010110010010100100 11101110100010011010101001001011000 19 19 26
11100110001111000011011100010011000 11011001110100011100100110001100100 21 21 25
11100110100011100111100010010101000 11011100001111001100110010100010100 19 19 24
11110011010001110000101110001110000 11010011101010010011111000100010100 18 18 24
11001011011001100011010011101001000 10111001001110001110010110001110000 19 20 26
11111001100100101001101010011010000 11111011110010010010100100101000100 20 20 26
11111010010010100110100101100011000 11010100110011111101000111000010000 20 20 24
11100111111100000100100010110110000 11101001110011000100111001001010100 18 18 24
11101001110001100011101010011001000 11111100110001100010100101100010100 18 18 25
11010111001001010011011100100100100 11001111010011111000000111000011000 19 19 24
11110010010100110110110010010100100 11101100101001011100011000110011000 17 17 22
11010011101100011010001101100101000 11111001001011001001101110000100100 21 21 26
11001101001011101001110011010001000 11011110010101000110001110011000100 22 22 23
11011111000110100100010011001110000 11111110011000110100000111100001000 18 18 27
11101110010011100100110001110000100 11111001001100100101011100001101000 21 21 24
11101100011000101111001000101100100 11100110110010010101001011110001000 18 18 25
10111011010000111010100101100011000 11110011001100011101001010011000100 16 16 22
11011010010011111100010010101000100 11100101011101000110101100001011000 20 20 23
11010011101001101001101011001001000 11111001001010100111001001110010000 19 19 25
10111101000100111001010100110100100 11100011111000110001001110100011000 20 20 26
10111111101100101001110001000001000 11111100011100001010100011011000100 17 17 22
11100110011010101000111010001101000 11101111000010100101010011100100100 19 19 25
11100110110010001110101100010110000 10111011110101001100010000110011000 19 19 25
11010011100101010011100011010011000 11100111000111101001001001001100100 18 18 25
11100110011001100011110011001000100 11011000111010001110010011001110000 19 19 24
11011110010110001110010010001110000 11110011011000011101001010101000100 17 17 21
11100110010011101001011001011001000 11101000111010011010001110100100100 20 20 26
