first	second	opt	dist	central	visited
101111000101011001001111000100100	111111001010001010011110001001000	19	19	21	291172824
111101001001101001001111000100100	111001110001001011011000101101000	16	16	23	225919744
110011011010110000111010100011000	111010110010011010010100110100100	19	19	22	280188776
111100101001100100111010101001000	110101100100111101010010100100100	18	18	22	283888496
110011110100110010100011100110000	111110101001100010011001011000100	18	18	24	270526080
111010010100111111000100011000100	111001110001100010101101001101000	19	19	21	290606600
111001100100111001001101101000100	111101100110010011100010001011000	20	21	23	286399368
111101010011000110011001010011000	111001011011101010010001011010000	18	19	22	286913520
101101010011011111000011010100000	111010011010100100110100101011000	20	20	24	285860456
101111011000110011000011001100100	111100010100111100011001010011000	19	19	23	282737568
111000111001110011100001011010000	110110101010011100010011001101000	17	17	21	240255936
111101010011001001101001001100100	111100011000101100110100110011000	17	17	25	257983480
111110100100111001010100011010000	101110111000001111001010001010100	18	18	23	268526328
101111101000100111011000100100100	111001010100111110010101000101000	18	18	21	281599448
110110101100011010001100101011000	110110100011011001100011010100100	17	17	23	248628040
110011111001001100001100110011000	111011000101001101100011001100100	18	18	24	278695160
110011110100011101010010110000100	111010100101100100111100001110000	19	19	22	284080512
111110100110000111001001001100100	110101001110010011001100110011000	19	19	24	280426568
111111110000100101000101011000100	101110101100001110100101001011000	18	19	24	273170312
111011110000001101110001101000100	111001110100100100111000101101000	19	19	24	270612520
111111001010000111000011010011000	111101000110010011110010011010000	17	17	23	256925104
111100010110001010111011100001000	111010100011110001010011001100100	17	18	25	223388264
110100110010111011101000100101000	111001100111001010001100101100100	19	19	23	272534064
111001111110000010011110000011000	111010011000111001100101100110000	18	19	23	292477360
110111000111100001101001001100100	111100101001110001100100110011000	17	17	23	278613344
111110010001100100110110100010100	110111000110010011110001011001000	18	18	22	270537720
111010001101001101101010001101000	101110101001011010010101010010100	19	20	21	268857192
111011001010011100100101010010100	111010100011100100111001010101000	18	18	23	286161552
110111110001000101001100111001000	111100011100101010010101001010100	18	18	23	274363928
111010001110100111010011100010000	111110010100001110011001100011000	16	16	21	217417360
110011101100101110000110100110000	111110100110100011001001011000100	19	19	24	285298720
111011100010011101000101100100100	110101010011110010101100010011000	19	19	22	287676064
101101011100011000110100111100000	111100100111000110101100100100100	19	19	22	286825328
110111010001001110011000111000100	111001101100011001001110111000000	19	19	23	286756080
111101001110100000111001010011000	111100100110100101100011100100100	16	16	21	214374168
111110100100101000110011001100100	111100100100111010001110010011000	16	16	24	220138264
110111000011100011001110011010000	111001011100101100011001101001000	18	18	22	259970688
111010110001100110010110010011000	111101001100010011100011111000000	17	17	21	279904528
110111010100010100111000111000100	111110010011001001100101110010000	19	19	23	284698560
111100111011000100011101000011000	111011101100000101010011011000100	18	18	24	271062056
111110001100001110100011100101000	111101100011100101100110000010100	18	18	24	264629056
101111001001100011001101010011000	111100010100111100011001001110000	18	18	23	279568312
110101001011011001001101101001000	111010011100111000010100110100100	18	18	23	264043896
110101111000010011101001101000100	111100011001010111001010001011000	19	21	23	286139544
110011101100011011001001100110000	110110100111001100001100110011000	19	19	23	285926216
